,text
1527,"Rotterdam University of Applied Sciences offers a Master program called 'Master of Arts in Fine Art and Design | Experimental Publishing' in Rotterdam. The program lasts for 2 years. Program Overview: Experimental Publishing (XPUB), part of the Master of Arts in Fine Art and Design, focuses on the acts of making things public and creating publics in the age of post-digital networks. XPUB's interests in publishing are therefore twofold: first, publishing as the inquiry and participation into the technological frameworks, political context and cultural processes through which things are made public; and second, how these are, or can be, used to create publics. This programme is offered by Piet Zwart Institute. This program awards a degree titled 'Master of Arts'. The language of instruction is English. The program duration is 2 years. It carries a total of 120 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: IELTS overall band (minimum score or level: 6); or TOEFL paper based (minimum score or level: 550); or TOEFL computer based (minimum score or level: 213); or TOEFL internet based (minimum score or level: 80). Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 13,032; Institutional students pay € 13,032. If you want to join the program starting in 1 Sep '25, the application deadline is 1 May '25 for EU/EEA applicants, and 1 Mar '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 1 May '26 for EU/EEA applicants, and 1 Mar '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 1 May '27 for EU/EEA applicants, and 1 Mar '27 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.pzwart.nl/."
1528,"Erasmus University Rotterdam offers a Master program called 'Economics & Business, track International Economics' in Rotterdam. The program lasts for 1 year. Program Overview: You will explore and analyse the progressive integration of international goods, labour and capital markets and the decline in the national barriers that separated them in the past. You will explore and analyse the progressive integration of goods, labour and capital markets and the decline of national barriers. You will also achieve a deep understanding of the economic forces underlying the increased interdependence of nations as you can choose electives covering topics like: International Economics programme offers you a comprehensive selection of topical global economics issues. Empirical international trade The so–called new trade theories The instruments of trade policies International financial markets This program awards a degree titled '-'. The language of instruction is English. The program duration is 1 year. It carries a total of 60 ECTS credits. The program is accredited by Information not available. Tuition fees are as follows: EU/EEA students pay Information not available; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is - for EU/EEA applicants, and - for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '25, the application deadline is - for EU/EEA applicants, and - for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.eur.nl/en/ese/master/international-economics."
1529,"Tio University of Applied Sciences offers a Bachelor program called 'International Business Management' in Rotterdam. The program lasts for 3 years. Program Overview: The world revolves around trade. Establishing international contacts and spotting opportunities - or creating them yourself. This bachelor programme brings you one step closer to international success. You close a deal with an American organisation and research the possibilities of doing business in Asia. That is just business as usual after earning the International Business Management bachelor’s degree. You can compete with the best in the financial services sector as well. You keep a close eye on international developments and always stay one step ahead of the latest trends. You have contacts around the world and use your knowledge as an international manager, consultant or entrepreneur. This bachelor has been accredited by the NVAO and it has scored top marks in the Higher Education Guide for the 9th year in a row. It has also earned the highest rating out of all business programmes in the National Student Survey (NSE) for several years. In Elsevier’s “Best study courses” enquiry, the programme has top rankings for 5 years. The programme educates you in 3 or 4 years to use the internationally acknowledged title of Bachelor of Business Administration (BBA). You can also earn an Associate degree in 2 years All the Tio locations offer this bachelor programme taught in Dutch or English. This program awards a degree titled 'Bachelor of Business Administration'. The language of instruction is English. The program duration is 3 years. It carries a total of 240 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: TOEFL paper based (minimum score or level: 550); or TOEFL computer based (minimum score or level: 213); or TOEFL internet based (minimum score or level: 80); or IELTS overall band (minimum score or level: 6.0); or Cambridge First Certificate in English (minimum score or level: 160). Tuition fees are as follows: EU/EEA students pay Information not available; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 1 Sep '25 for EU/EEA applicants, and 15 Jun '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.tio.nl/en/international_business_management/."
1530,"Erasmus University Rotterdam offers a Master program called 'Economics and Business' in Rotterdam. The program lasts for 1 year. Program Overview: If you seek to link economic theory with practice through the involvement of industry and governments, then the MSc in Economics and Business is the programme for you. What do you learn and what do you need? An analytical mind, creativity and an interest in the world around you are important to be successful in this programme. We offer you a combination of academic rigour and practical applicability. Depending on which specialisation you choose, we will train you to conduct sound analyses and convert them into policy recommendations and strategies. In addition, you will learn how to assess strategic issues within companies. There is a wealth of options to choose from. Our programme consists of ten specialisations in Economics, Business Economics, and Applied Economics: Behavioural Economics Data Science and Marketing Analytics Economics of Markets and Organisations Economics of Sustainability Financial Economics Health Economics International Economics Marketing Policy Economics Strategy Economics Urban, Port and Transport Economics Our academic staff contribute regularly to major academic journals about their research findings, but we have close ties with the business world as well. This combination ensures you will have access to the latest economic insights and techniques. This program awards a degree titled 'Master of Science'. The language of instruction is English. The program duration is 1 year. It carries a total of 60 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: IELTS overall band (minimum score or level: 6.5); or TOEFL computer based (minimum score or level: 232); or TOEFL internet based (minimum score or level: 90). Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 1 May '25 for EU/EEA applicants, and 1 May '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '25, the application deadline is 1 May '25 for EU/EEA applicants, and 1 May '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.eur.nl/en/ese/study-economics-and-business-rotterdam."
1531,"Rotterdam University of Applied Sciences offers a Bachelor program called 'International Business' in Rotterdam. The program lasts for 4 years. Program Overview: Are you aiming for a career in business? Do you thrive in an intercultural environment? With an International Business (IB) degree you can. Our International Business degree teaches you how to be an innovator, an intercultural business communicator and a value-oriented leader. Since every business faces complex challenges, you will tackle multidisciplinary challenges in this programme, as well as learn how to develop data-driven decisions to back up your strategies. We think it's valuable for you to get out there in the business world as a student. Less research and more of a practical approach is our approved method of preparing students for the international business world. It means that your assignments will deal with real issues in real companies. You will get to work on marketing plans and sales techniques. You will test out entry and organisational strategies. You will learn about accounting and assess the financial performances of companies. You will also create supply chain networks, using the latest digital tools. Languages are an important part of the education we offer and are one of the unique elements of our university. You will learn at least one foreign language. This will complement your studies and improve your knowledge and cultural understanding when operating across borders. This program awards a degree titled 'Bachelor of Business Administration'. The language of instruction is English. The program duration is 4 years. It carries a total of 240 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: IELTS overall band (minimum score or level: 6); or TOEFL paper based (minimum score or level: 550); or TOEFL computer based (minimum score or level: 213). Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 11,537; Institutional students pay € 11,537. If you want to join the program starting in 1 Sep '25, the application deadline is 31 Jul '25 for EU/EEA applicants, and 1 Apr '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 31 Jul '26 for EU/EEA applicants, and 1 Apr '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 31 Jul '27 for EU/EEA applicants, and 1 Apr '27 for non-EU/EEA applicants. For more information, please visit the program’s official website: http://www.rotterdamuas.com/ib."
1532,"Rotterdam University of Applied Sciences offers a Bachelor program called 'Design' in Rotterdam. The program lasts for 4 years. Program Overview: If you study our bachelor course in Design, you chose from one of the 2D, 3D or 4D disciplines in your first year: Advertising & Beyond, Animation, Audiovisual Design, Fashion Design, Graphic Design, Illustration,  Transformation Design, Product Design of Spatial Design. Rotterdam is home base to quite many designers in all disciplines that have gained an international reputation. Many of them have been educated at WdKA: as a 'typical Rotterdam' academy it boasts a strong tradition in design education. Quite logical in a city that is an internationally orientated hub for trade and transport, and that is all about 'getting things done'. Rotterdam manifests itself - both nationally and internationally - as a 'city of design'. Proof of that is the biennial Rotterdam Design Prize. On the one hand, Rotterdam designers are characterized by their pragmatic 'hands on' approach (""don't fuss, just do it!""). On the other hand, they are renowned for their innovative and personal approach of design assignments. Over the past two decades, digital media have transformed all WdKA's design courses - like they transformed professional practice. Digital media are not just important as tools in the design process, but even more as a new arena for designers to work in. From day one, digital media are an integral part of the curriculum of all WdKA design courses. This program awards a degree titled 'Bachelor of Arts'. The language of instruction is English. The program duration is 4 years. It carries a total of 240 ECTS credits. The program is accredited by NVAO. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 10,312; Institutional students pay € 10,312. If you want to join the program starting in 1 Sep '25, the application deadline is 1 May '25 for EU/EEA applicants, and 1 Mar '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 1 May '26 for EU/EEA applicants, and 1 Mar '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 1 May '27 for EU/EEA applicants, and 1 Mar '27 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.wdka.nl/programmes."
1533,"Erasmus University Rotterdam offers a Master program called 'Urban Housing & Land Justice: Equitable Access to Sustainable Land, Housing & Services' in Rotterdam. The program lasts for 11 months. Program Overview: This master track will focus on understanding, applying, and evaluating how the right to land, housing and urban services can be achieved. In a world with ample resources, knowledge, and skills, inequalities are growing worldwide. This manifests itself in economic inequality, social inequality, gender inequality, and housing inequality. Adequate housing is a basic need, a right, and not a privilege. Land and shelter remain unmet basic needs for many, with growing global land inequality fuelling housing disparities and limited access to services. Unequal land access underlies pressing societal issues, including housing injustice. The challenge of adequate housing persists globally, as vulnerable groups face displacement and limited infrastructure, while non-profitable land uses like affordable housing are marginalized. Due to ongoing commodification, this exclusivity affects global urban access to land, housing, and services. Addressing housing and land justice aligns with shared societal goals outlined in the New Urban Agenda (NUA) and Sustainable Development Goals (SDGs). Thus, the master track will focus on understanding, applying, and evaluating how the right to land, housing and urban services can be achieved. This program awards a degree titled 'Master of Science'. The language of instruction is English. The program duration is 11 months. It carries a total of 60 ECTS credits. The program is accredited by NVAO. Tuition fees are as follows: EU/EEA students pay € 18,600; Non-EU/EEA students pay € 18,600; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 1 Jun '26 for EU/EEA applicants, and - for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.ihs.nl/en/master/urban-housing-land-justice."
1534,"Rotterdam University of Applied Sciences offers a Master program called 'Master of Arts in Fine Art and Design' in Rotterdam. The program lasts for 2 years. Program Overview: The Master of Arts in Fine Art and Design offers three study paths: Fine Art,  Lens-Based Media and Experimental Publishing. 1. Fine Art: The two-year Master of Fine Art (MFA) program at the Piet Zwart Institute is an HBO Masters offered by the Willem de Kooning Academy, which is part of the Hogeschool Rotterdam (Rotterdam University of Applied Sciences). The MFA program foregrounds the reciprocal articulation of research, practice, and professionalisation. It considers critical reflection, debate, and action as integral to self-directed artistic research and practice, and it fosters professional development for emerging artists through exposure to key actors and influences in the field of contemporary art, professional guidance and workshops, and exhibition and public programming opportunities for presenting ideas and work to wider audiences. 2. Lens-Based Media: this course focuses on approaching animation, photography, and the full range of contemporary cinematic forms as a single expanded field. 3. Experimental Publishing: this course prepares students to critically engage with societal issues within the fast-changing field of art, design and cultural products. This program awards a degree titled 'Master of Arts'. The language of instruction is English. The program duration is 2 years. It carries a total of 120 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: IELTS overall band (minimum score or level: 6); or TOEFL paper based (minimum score or level: 550); or TOEFL computer based (minimum score or level: 213); or TOEFL internet based (minimum score or level: 80). Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 13,032; Institutional students pay € 13,032. If you want to join the program starting in 1 Sep '25, the application deadline is 1 May '25 for EU/EEA applicants, and 1 Mar '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 1 May '26 for EU/EEA applicants, and 1 Mar '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 1 May '27 for EU/EEA applicants, and 1 Mar '27 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.pzwart.nl/."
1535,"Erasmus University Rotterdam offers a Bachelor program called 'International Bachelor in Psychology' in Rotterdam. The program lasts for 3 years. Program Overview: Do you strive to understand why humans think, feel and act the way they do? Find out if the International Bachelor in Psychology at Erasmus University Rotterdam is the right choice for you! ""Creating positive societal impact” is the motto that guides education and research at Erasmus University Rotterdam. Psychologists play an important role in achieving United Nations Sustainable Development Goals (SDG). SDG #3 “good health and well-being” easily comes to mind. However, psychologists can also contribute to, for example, high quality education (SDG #4) decent work (SDG #8) and reducing inequalities (SDG # 5 and 10). With one eye on knowledge development and the other on application, we teach a wide range of psychology subjects connected to contemporary societal issues. These include basic topics such as perception and cognition, human learning, motivation, addiction, and mental health challenges. In addition, we teach important skills such as critical thinking, collaboration and self-reflection in our practicals and courses such as cross-cultural psychology. This program awards a degree titled 'Bachelor of Science'. The language of instruction is English. The program duration is 3 years. It carries a total of 180 ECTS credits. The program is accredited by NVAO. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 15 Jan '25 for EU/EEA applicants, and 15 Jan '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.eur.nl/en/essb/bachelor/international-bachelor-psychology."
1536,"Rotterdam University of Applied Sciences offers a Master program called 'Master of Arts in Fine Art and Design | Lens-Based Media' in Rotterdam. The program lasts for 2 years. Program Overview: Lens-Based Media, part of the Master of Arts in Fine Art and Design, focuses on approaching animation, photography, and the full range of contemporary cinematic forms as a single expanded field. The specialisation is committed to lens-based image making as an art and craft with distinct analogue imaging media into a single digital workflow. Within the programme, digital visual media forms are approached using the lens as a central metaphor in their process. This programme is offered by Piet Zwart Institute. Next to the staff tutors, who are internationally recognized practitioners in their fields, we invite a wide range of distinguished international guest lecturers. This program awards a degree titled 'Master of Arts'. The language of instruction is English. The program duration is 2 years. It carries a total of 120 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: IELTS overall band (minimum score or level: 6); or TOEFL paper based (minimum score or level: 550); or TOEFL computer based (minimum score or level: 213); or TOEFL internet based (minimum score or level: 80). Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 13,032; Institutional students pay € 13,032. If you want to join the program starting in 1 Sep '25, the application deadline is 1 May '25 for EU/EEA applicants, and 1 Mar '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 1 May '26 for EU/EEA applicants, and 1 Mar '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 1 May '27 for EU/EEA applicants, and 1 Mar '27 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.pzwart.nl/."
1537,"Tio University of Applied Sciences offers a Bachelor program called 'Hotel and Event Management' in Rotterdam. The program lasts for 3 years. Program Overview: Welcome to the world of hotels, restaurants, festivals and events. After completing this bachelor, you will create the perfect experience for your guests. And you turn any event into a success. Will you be the manager of the Amstel Hotel in Amsterdam or the Hilton in New York? Or event expert organising Tomorrowland? Take the first step with the Hotel and Event Management programme! Hospitality is all about creating an experience. Put yourself in you guest’s shoes in order to make a stay or an event a great succes and rely on your professional knowledge and skills in the field of management, organisation and e-commerce. This programme has been accredited by the NVAO and was awarded the title of the Netherlands’s best private hotel school for the 11th year in a row by the Higher Education Guide. The programme has also been awarded top marks in the National Student Survey (NSE) for years and ranks high in Elsevier’s “Best study courses” enquiry. The bachelor educates you for the professional competence level in Hotel Management in 3 or 4 years. The degree allows you to use the internationally acknowledged title of Bachelor of Arts (BA). You can also earn an Associate degree in 2 years. This programme is offered in English and Dutch at the Tio locations in Amsterdam, Rotterdam, Eindhoven and Utrecht. . This program awards a degree titled 'Bachelor of Arts'. The language of instruction is English. The program duration is 3 years. It carries a total of 240 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: TOEFL paper based (minimum score or level: 550); or TOEFL computer based (minimum score or level: 213); or TOEFL internet based (minimum score or level: 80); or IELTS overall band (minimum score or level: 6.0); or Cambridge First Certificate in English (minimum score or level: 160). Tuition fees are as follows: EU/EEA students pay Information not available; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 1 Sep '25 for EU/EEA applicants, and 15 Jun '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.tio.nl/en/hotel_and_event_management."
1538,"Tio University of Applied Sciences offers a Other program called 'Commercial Economy & Entrepreneurship' in Rotterdam. The program lasts for 3 years. Program Overview: A strong brand with strong campaigns, developed by entrepreneurial professionals who react to consumers’ wishes. Will you work on campaigns for Coolblue or Amazon, or will you start your own business? Are you an expert at sales and do you like thinking “outside the box”? Make the most of your talents and enrol in the Commercial Entrepreneurship and Organisations programme! You will draw up marketing plans, develop communication campaigns and close the best deals. Your clear vision of the future and your knowledge of market research will make all the difference. You know exactly what it takes to develop and market a brand. The Higher Education Guide has selected this programme as the best Commercial Economics bachelor’s programme for years in a row. The programme has also been given top marks in the National Student Survey three years in a row and in Elsevier’s “Best study courses” enquiry the programme has earned the #1 position. The Associate degree programmes are set up in collaboration with the business world, based on the special desire for employees with a level of education that lies between mbo4 (vocational training programme) and a bachelors degree. This programme is offered in English and Dutch at the Tio locations in Amsterdam, Rotterdam and Utrecht. The campuses in Eindhoven, Hengelo and Groningen only offer this programme in Dutch. This program awards a degree titled 'Associate Degree'. The language of instruction is English. The program duration is 3 years. It carries a total of 120 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: TOEFL computer based (minimum score or level: 230); or TOEFL internet based (minimum score or level: 80); or TOEFL paper based (minimum score or level: 550); or IELTS overall band (minimum score or level: 6.0); or Cambridge First Certificate in English (minimum score or level: 160). Tuition fees are as follows: EU/EEA students pay Information not available; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 1 Sep '25 for EU/EEA applicants, and 15 Jun '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.tio.nl/en/studychoice/associate-degree/."
1539,"Erasmus University Rotterdam offers a Master program called 'Economics & Business, track Financial Economics' in Rotterdam. The program lasts for 1 year. Program Overview: This programme is for highly motivated students who aim for a career in private equity, corporate finance, banking, or asset management. This Financial Economics programme attracts students from around the world for a great number of reasons. Which ones triggers you the most? Is it our renowned experience-based teaching methods? Our close connections to the international business world? Or maybe the fascinating guest lectures, company and study trips? This program awards a degree titled '-'. The language of instruction is English. The program duration is 1 year. It carries a total of 60 ECTS credits. The program is accredited by Information not available. Tuition fees are as follows: EU/EEA students pay Information not available; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is - for EU/EEA applicants, and - for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '25, the application deadline is - for EU/EEA applicants, and - for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.eur.nl/en/ese/master/financial-economics."
1540,"Erasmus University Rotterdam offers a Master program called 'Economics & Business, track Marketing' in Rotterdam. The program lasts for 1 year. Program Overview: This programme focuses on the tools and skills that are needed to develop cutting-edge marketing strategies and innovative customer experiences, based on the latest theoretical and methodological marketing research. Harnessing detailed customer insights, you explore innovative marketing tactics to create value for customers, your firm and society at large. Our methodology will allow you to innovate and offer unparalleled customer experiences, distinguishing your business from competitors. Evidence-based decisions are the heart of the programme, acting as a catalyst for your company's growth and increased profitability. This program awards a degree titled '-'. The language of instruction is English. The program duration is 1 year. It carries a total of 60 ECTS credits. The program is accredited by Information not available. Tuition fees are as follows: EU/EEA students pay Information not available; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is - for EU/EEA applicants, and - for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '25, the application deadline is - for EU/EEA applicants, and - for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.eur.nl/en/ese/master/marketing."
1541,"Erasmus University Rotterdam offers a Master program called 'Bestuurskunde (Public Administration)' in Rotterdam. The program lasts for 1 year. This program awards a degree titled 'Master of Science'. The language of instruction is English. The program duration is 1 year. It carries a total of 60 ECTS credits. The program is accredited by NVAO. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 15 Jun '25 for EU/EEA applicants, and - for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 15 Jun '26 for EU/EEA applicants, and - for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.eur.nl/essb/studeer-bestuurskunde."
1542,"Tio University of Applied Sciences offers a Bachelor program called 'Commerce Economics & Entrepreneurship' in Rotterdam. The program lasts for 3 years. Program Overview: A strong brand with strong campaigns, developed by entrepreneurial professionals who react to consumers’ wishes. Will you work on campaigns for Coolblue or Amazon, or will you start your own business? Are you an expert at sales and do you like thinking “outside the box”? Make the most of your talents and enrol in the Commercial Entrepreneurship and Organisations programme! You will draw up marketing plans, develop communication campaigns and close the best deals. Your clear vision of the future and your knowledge of market research will make all the difference. You know exactly what it takes to develop and market a brand. The Higher Education Guide has selected this programme as the best Commercial Economics bachelor’s programme for years in a row. The programme has also been given top marks in the National Student Survey three years in a row and in Elsevier’s “Best study courses” enquiry the programme has earned the #1 position. The bachelor will train you for the internationally acknowledged title of Bachelor of Science (BSc) in 3 or 4 years. You can also earn an Associate degree in 2 years. This programme is offered in English and Dutch at the Tio locations in Amsterdam, Rotterdam and Utrecht. The campuses in Eindhoven, Hengelo and Groningen only offer this programme in Dutch. This program awards a degree titled 'Bachelor of Science'. The language of instruction is English. The program duration is 3 years. It carries a total of 240 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: TOEFL computer based (minimum score or level: 230); or TOEFL internet based (minimum score or level: 80); or TOEFL paper based (minimum score or level: 550); or IELTS overall band (minimum score or level: 6.0); or Cambridge First Certificate in English (minimum score or level: 160). Tuition fees are as follows: EU/EEA students pay Information not available; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 1 Sep '25 for EU/EEA applicants, and 15 Jun '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.tio.nl/en/commerce-entrepreneurship-and-organisations/."
1543,"Tio University of Applied Sciences offers a Bachelor program called 'International Tourism Management' in Rotterdam. The program lasts for 3 years. Program Overview: Dubai, New York, Venice; the world is at your feet. After completing this tourism bachelor you will sell the world! You design trips, purchase at sharp rates and establish contacts all over the world. Do you love exploring new countries and different cultures and do you have commercial and leadership skills? International Tourism Management is the perfect programme for you. After completing this bachelor’s degree, you will know how to compose trips and promote these (online). As a tourism expert with a background in e-commerce, you might e.g. work for a tour operator, or you turn your own business into a huge success. Your knowledge of event management allows you to organise the most unique international (business) events. This bachelor programme has been accredited by the NVAO and has achieved top marks in the Higher Education Guide for 11 years. It also received the highest scores on the National Student Survey (NSE) for years and earned the #1 position in Elsevier’s “Best study courses” enquiry. The duration of the programme is 3 or 4 years and after that you may use the internationally acknowledged title of Bachelor of Arts (BA). You can also earn an Associate degree in 2 years. The Tio locations Amsterdam, Rotterdam, Eindhoven and Utrecht offer bachelor courses taught in either Dutch or English. This program awards a degree titled 'Bachelor of Arts'. The language of instruction is English. The program duration is 3 years. It carries a total of 240 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: TOEFL paper based (minimum score or level: 550); or TOEFL computer based (minimum score or level: 213); or TOEFL internet based (minimum score or level: 80); or IELTS overall band (minimum score or level: 6.0); or Cambridge First Certificate in English (minimum score or level: 160). Tuition fees are as follows: EU/EEA students pay Information not available; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 1 Sep '25 for EU/EEA applicants, and 15 Jun '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.tio.nl/en/international_tourism_management/."
1544,"Erasmus University Rotterdam offers a Master program called 'Health Sciences' in Rotterdam. The program lasts for 1 year. Program Overview: Explore the potential of medical research. In upcoming years, important discoveries will be made in the health sciences. Take part in unearthing these discoveries. Get the methodological, theoretical, and statistical foundation you need to design and carry out your own practical researchâ€”and publish your results. Work in the stimulating environment of the Netherlands Institute for Health Sciences (NIHES). Attend lectures by prominent scientists. Choose your own speciality, and do. cutting-edge research with the support of a personal tutor. Learn state-of-the-art research methods, and how to study the literature on an issue, analyse data, and publish in respected journals. NIHES, at the Erasmus MC, is a top-ranked institution with a strong international dimension. Let them be your springboard to a career in international research, public health, health policy, health economics, clinical medicine, or pharmaceutical research This program awards a degree titled 'Master of Science'. The language of instruction is English. The program duration is 1 year. It carries a total of 70 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: IELTS overall band (minimum score or level: 6.5); or TOEFL computer based (minimum score or level: 232); or TOEFL internet based (minimum score or level: 90). Tuition fees are as follows: EU/EEA students pay Information not available; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Aug '25, the application deadline is 1 May '25 for EU/EEA applicants, and - for non-EU/EEA applicants. For more information, please visit the program’s official website: http://www.eur.nl/english/post_experience/master/health_sciences/."
1545,"Erasmus University Rotterdam offers a Master program called 'Global Executive MBA' in Rotterdam. The program lasts for 2 years. Program Overview: The Global Executive MBA Program is a 21-month modular executive MBA Program at the Rotterdam School of Management, Erasmus University Rotterdam. The RSM Global Executive MBA is a transformative and intensive 21-month journey in leadership development, tailored exclusively to your needs and objectives. You are empowered with the knowledge, the insights into your personal style of leadership, the skills and the strategic vision to lead your organisation with clarity, confidence and integrity. Delivered in Rotterdam, one of the world’s key economic hubs, the RSM Global Executive MBA connects you to a global network of peers, thought leaders and change agents. You experience all the dynamics of international leadership and business, where it happens, as it happens. This program awards a degree titled 'Master of Business Administration'. The language of instruction is English. The program duration is 2 years. It carries a total of 63 ECTS credits. The program is accredited by NVAO. Tuition fees are as follows: EU/EEA students pay Information not available; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Oct '25, the application deadline is - for EU/EEA applicants, and - for non-EU/EEA applicants. If you want to join the program starting in 1 Oct '26, the application deadline is - for EU/EEA applicants, and - for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.rsm.nl/mba/global-executive-mba/."
